 25.03.2025.21:45 = 0 3 . (-..- (null) ...-) [(null) (null) (null)]
 PU1KTH = K T H (Kilo Tango Hotel) [-.- - ....]
 PU1KTI = K T I (Kilo Tango India) [-.- - ..]
 PU1KTN = K T N (Kilo Tango November) [-.- - -.]
 PU1KTP = K T P (Kilo Tango Papa) [-.- - .--.]
 PU1KTQ = K T Q (Kilo Tango Quebec) [-.- - --.-]
 PU1KTR = K T R (Kilo Tango Romeo) [-.- - .-.]
 PU1KTU = K T U (Kilo Tango Uniform) [-.- - ..-]
 PU1KTZ = K T Z (Kilo Tango Zulu) [-.- - --..]
 PU1KUA = K U A (Kilo Uniform Alfa) [-.- ..- .-]
 PU1KUB = K U B (Kilo Uniform Bravo) [-.- ..- -...]
 PU1KUC = K U C (Kilo Uniform Charlie) [-.- ..- -.-.]
 PU1KUD = K U D (Kilo Uniform Delta) [-.- ..- -..]
 PU1KUE = K U E (Kilo Uniform Echo) [-.- ..- .]
 PU1KUF = K U F (Kilo Uniform Foxtrot) [-.- ..- ..-.]
 PU1KUG = K U G (Kilo Uniform Golf) [-.- ..- --.]
 PU1KUH = K U H (Kilo Uniform Hotel) [-.- ..- ....]
 PU1KUI = K U I (Kilo Uniform India) [-.- ..- ..]
 PU1KUJ = K U J (Kilo Uniform Juliett) [-.- ..- .---]
 PU1KUL = K U L (Kilo Uniform Lima) [-.- ..- .-..]
 PU1KUM = K U M (Kilo Uniform Mike) [-.- ..- --]
 PU1KUN = K U N (Kilo Uniform November) [-.- ..- -.]
 PU1KUO = K U O (Kilo Uniform Oscar) [-.- ..- ---]
 PU1KUP = K U P (Kilo Uniform Papa) [-.- ..- .--.]
 PU1KUQ = K U Q (Kilo Uniform Quebec) [-.- ..- --.-]
 PU1KUR = K U R (Kilo Uniform Romeo) [-.- ..- .-.]
 PU1KUS = K U S (Kilo Uniform Sierra) [-.- ..- ...]
 PU1KUT = K U T (Kilo Uniform Tango) [-.- ..- -]
 PU1KUV = K U V (Kilo Uniform Victor) [-.- ..- ...-]
 PU1KUW = K U W (Kilo Uniform Whiskey) [-.- ..- .--]
 PU1KUY = K U Y (Kilo Uniform Yankee) [-.- ..- -.--]
 PU1KUZ = K U Z (Kilo Uniform Zulu) [-.- ..- --..]
 PU1KVA = K V A (Kilo Victor Alfa) [-.- ...- .-]
 PU1KVB = K V B (Kilo Victor Bravo) [-.- ...- -...]
 PU1KVC = K V C (Kilo Victor Charlie) [-.- ...- -.-.]
 PU1KVE = K V E (Kilo Victor Echo) [-.- ...- .]
 PU1KVF = K V F (Kilo Victor Foxtrot) [-.- ...- ..-.]
 PU1KVG = K V G (Kilo Victor Golf) [-.- ...- --.]
 PU1KVH = K V H (Kilo Victor Hotel) [-.- ...- ....]
 PU1KVI = K V I (Kilo Victor India) [-.- ...- ..]
 PU1KVL = K V L (Kilo Victor Lima) [-.- ...- .-..]
 PU1KVN = K V N (Kilo Victor November) [-.- ...- -.]
 PU1KVO = K V O (Kilo Victor Oscar) [-.- ...- ---]
 PU1KVP = K V P (Kilo Victor Papa) [-.- ...- .--.]
 PU1KVQ = K V Q (Kilo Victor Quebec) [-.- ...- --.-]
 PU1KVR = K V R (Kilo Victor Romeo) [-.- ...- .-.]
 PU1KVS = K V S (Kilo Victor Sierra) [-.- ...- ...]
 PU1KVT = K V T (Kilo Victor Tango) [-.- ...- -]
 PU1KVW = K V W (Kilo Victor Whiskey) [-.- ...- .--]
 PU1KVY = K V Y (Kilo Victor Yankee) [-.- ...- -.--]
 PU1KVZ = K V Z (Kilo Victor Zulu) [-.- ...- --..]
 PU1KWB = K W B (Kilo Whiskey Bravo) [-.- .-- -...]
 PU1KWC = K W C (Kilo Whiskey Charlie) [-.- .-- -.-.]
 PU1KWD = K W D (Kilo Whiskey Delta) [-.- .-- -..]
 PU1KWE = K W E (Kilo Whiskey Echo) [-.- .-- .]
 PU1KWF = K W F (Kilo Whiskey Foxtrot) [-.- .-- ..-.]
 PU1KWI = K W I (Kilo Whiskey India) [-.- .-- ..]
 PU1KWJ = K W J (Kilo Whiskey Juliett) [-.- .-- .---]
 PU1KWL = K W L (Kilo Whiskey Lima) [-.- .-- .-..]
 PU1KWM = K W M (Kilo Whiskey Mike) [-.- .-- --]
 PU1KWN = K W N (Kilo Whiskey November) [-.- .-- -.]
 PU1KWO = K W O (Kilo Whiskey Oscar) [-.- .-- ---]
 PU1KWP = K W P (Kilo Whiskey Papa) [-.- .-- .--.]
 PU1KWQ = K W Q (Kilo Whiskey Quebec) [-.- .-- --.-]
 PU1KWR = K W R (Kilo Whiskey Romeo) [-.- .-- .-.]
 PU1KWS = K W S (Kilo Whiskey Sierra) [-.- .-- ...]
 PU1KWT = K W T (Kilo Whiskey Tango) [-.- .-- -]
 PU1KWU = K W U (Kilo Whiskey Uniform) [-.- .-- ..-]
 PU1KWV = K W V (Kilo Whiskey Victor) [-.- .-- ...-]
 PU1KWY = K W Y (Kilo Whiskey Yankee) [-.- .-- -.--]
 PU1KYA = K Y A (Kilo Yankee Alfa) [-.- -.-- .-]
 PU1KYB = K Y B (Kilo Yankee Bravo) [-.- -.-- -...]
 PU1KYC = K Y C (Kilo Yankee Charlie) [-.- -.-- -.-.]
 PU1KYD = K Y D (Kilo Yankee Delta) [-.- -.-- -..]
 PU1KYE = K Y E (Kilo Yankee Echo) [-.- -.-- .]
 PU1KYF = K Y F (Kilo Yankee Foxtrot) [-.- -.-- ..-.]
 PU1KYG = K Y G (Kilo Yankee Golf) [-.- -.-- --.]
 PU1KYH = K Y H (Kilo Yankee Hotel) [-.- -.-- ....]
 PU1KYI = K Y I (Kilo Yankee India) [-.- -.-- ..]
 PU1KYJ = K Y J (Kilo Yankee Juliett) [-.- -.-- .---]
 PU1KYL = K Y L (Kilo Yankee Lima) [-.- -.-- .-..]
 PU1KYN = K Y N (Kilo Yankee November) [-.- -.-- -.]
 PU1KYP = K Y P (Kilo Yankee Papa) [-.- -.-- .--.]
 PU1KYQ = K Y Q (Kilo Yankee Quebec) [-.- -.-- --.-]
 PU1KYR = K Y R (Kilo Yankee Romeo) [-.- -.-- .-.]
 PU1KYS = K Y S (Kilo Yankee Sierra) [-.- -.-- ...]
 PU1KYT = K Y T (Kilo Yankee Tango) [-.- -.-- -]
 PU1KYU = K Y U (Kilo Yankee Uniform) [-.- -.-- ..-]
 PU1KYV = K Y V (Kilo Yankee Victor) [-.- -.-- ...-]
 PU1KZA = K Z A (Kilo Zulu Alfa) [-.- --.. .-]
 PU1KZC = K Z C (Kilo Zulu Charlie) [-.- --.. -.-.]
 PU1KZE = K Z E (Kilo Zulu Echo) [-.- --.. .]
 PU1KZF = K Z F (Kilo Zulu Foxtrot) [-.- --.. ..-.]
 PU1KZG = K Z G (Kilo Zulu Golf) [-.- --.. --.]
 PU1KZH = K Z H (Kilo Zulu Hotel) [-.- --.. ....]
 PU1KZI = K Z I (Kilo Zulu India) [-.- --.. ..]
 PU1KZJ = K Z J (Kilo Zulu Juliett) [-.- --.. .---]
 PU1KZL = K Z L (Kilo Zulu Lima) [-.- --.. .-..]
 PU1KZN = K Z N (Kilo Zulu November) [-.- --.. -.]
 PU1KZO = K Z O (Kilo Zulu Oscar) [-.- --.. ---]
 PU1KZP = K Z P (Kilo Zulu Papa) [-.- --.. .--.]
 PU1KZQ = K Z Q (Kilo Zulu Quebec) [-.- --.. --.-]
 PU1KZR = K Z R (Kilo Zulu Romeo) [-.- --.. .-.]
 PU1KZS = K Z S (Kilo Zulu Sierra) [-.- --.. ...]
 PU1KZT = K Z T (Kilo Zulu Tango) [-.- --.. -]
 PU1KZU = K Z U (Kilo Zulu Uniform) [-.- --.. ..-]
 PU1KZV = K Z V (Kilo Zulu Victor) [-.- --.. ...-]
 PU1KZW = K Z W (Kilo Zulu Whiskey) [-.- --.. .--]
 PU1KZY = K Z Y (Kilo Zulu Yankee) [-.- --.. -.--]
 PU1LAK = L A K (Lima Alfa Kilo) [.-.. .- -.-]
