 25.03.2025.21:45 = 0 3 . (-..- (null) ...-) [(null) (null) (null)]
 PU1KJX = K J X (Kilo Juliett X-ray) [-.- .--- -..-]
 PU1KJY = K J Y (Kilo Juliett Yankee) [-.- .--- -.--]
 PU1KJZ = K J Z (Kilo Juliett Zulu) [-.- .--- --..]
 PU1KKD = K K D (Kilo Kilo Delta) [-.- -.- -..]
 PU1KKG = K K G (Kilo Kilo Golf) [-.- -.- --.]
 PU1KKH = K K H (Kilo Kilo Hotel) [-.- -.- ....]
 PU1KKJ = K K J (Kilo Kilo Juliett) [-.- -.- .---]
 PU1KKL = K K L (Kilo Kilo Lima) [-.- -.- .-..]
 PU1KKM = K K M (Kilo Kilo Mike) [-.- -.- --]
 PU1KKN = K K N (Kilo Kilo November) [-.- -.- -.]
 PU1KKP = K K P (Kilo Kilo Papa) [-.- -.- .--.]
 PU1KKQ = K K Q (Kilo Kilo Quebec) [-.- -.- --.-]
 PU1KKR = K K R (Kilo Kilo Romeo) [-.- -.- .-.]
 PU1KKS = K K S (Kilo Kilo Sierra) [-.- -.- ...]
 PU1KKT = K K T (Kilo Kilo Tango) [-.- -.- -]
 PU1KKU = K K U (Kilo Kilo Uniform) [-.- -.- ..-]
 PU1KKW = K K W (Kilo Kilo Whiskey) [-.- -.- .--]
 PU1KKX = K K X (Kilo Kilo X-ray) [-.- -.- -..-]
 PU1KKY = K K Y (Kilo Kilo Yankee) [-.- -.- -.--]
 PU1KKZ = K K Z (Kilo Kilo Zulu) [-.- -.- --..]
 PU1KLG = K L G (Kilo Lima Golf) [-.- .-.. --.]
 PU1KLI = K L I (Kilo Lima India) [-.- .-.. ..]
 PU1KLJ = K L J (Kilo Lima Juliett) [-.- .-.. .---]
 PU1KLO = K L O (Kilo Lima Oscar) [-.- .-.. ---]
 PU1KLP = K L P (Kilo Lima Papa) [-.- .-.. .--.]
 PU1KLQ = K L Q (Kilo Lima Quebec) [-.- .-.. --.-]
 PU1KLT = K L T (Kilo Lima Tango) [-.- .-.. -]
 PU1KLU = K L U (Kilo Lima Uniform) [-.- .-.. ..-]
 PU1KLV = K L V (Kilo Lima Victor) [-.- .-.. ...-]
 PU1KLW = K L W (Kilo Lima Whiskey) [-.- .-.. .--]
 PU1KLX = K L X (Kilo Lima X-ray) [-.- .-.. -..-]
 PU1KLZ = K L Z (Kilo Lima Zulu) [-.- .-.. --..]
 PU1KMI = K M I (Kilo Mike India) [-.- -- ..]
 PU1KMJ = K M J (Kilo Mike Juliett) [-.- -- .---]
 PU1KMK = K M K (Kilo Mike Kilo) [-.- -- -.-]
 PU1KMP = K M P (Kilo Mike Papa) [-.- -- .--.]
 PU1KMQ = K M Q (Kilo Mike Quebec) [-.- -- --.-]
 PU1KMR = K M R (Kilo Mike Romeo) [-.- -- .-.]
 PU1KMW = K M W (Kilo Mike Whiskey) [-.- -- .--]
 PU1KMX = K M X (Kilo Mike X-ray) [-.- -- -..-]
 PU1KNA = K N A (Kilo November Alfa) [-.- -. .-]
 PU1KNB = K N B (Kilo November Bravo) [-.- -. -...]
 PU1KNE = K N E (Kilo November Echo) [-.- -. .]
 PU1KNF = K N F (Kilo November Foxtrot) [-.- -. ..-.]
 PU1KNG = K N G (Kilo November Golf) [-.- -. --.]
 PU1KNH = K N H (Kilo November Hotel) [-.- -. ....]
 PU1KNK = K N K (Kilo November Kilo) [-.- -. -.-]
 PU1KNL = K N L (Kilo November Lima) [-.- -. .-..]
 PU1KNN = K N N (Kilo November November) [-.- -. -.]
 PU1KNO = K N O (Kilo November Oscar) [-.- -. ---]
 PU1KNQ = K N Q (Kilo November Quebec) [-.- -. --.-]
 PU1KNS = K N S (Kilo November Sierra) [-.- -. ...]
 PU1KNU = K N U (Kilo November Uniform) [-.- -. ..-]
 PU1KNV = K N V (Kilo November Victor) [-.- -. ...-]
 PU1KNW = K N W (Kilo November Whiskey) [-.- -. .--]
 PU1KNX = K N X (Kilo November X-ray) [-.- -. -..-]
 PU1KNY = K N Y (Kilo November Yankee) [-.- -. -.--]
 PU1KNZ = K N Z (Kilo November Zulu) [-.- -. --..]
 PU1KOB = K O B (Kilo Oscar Bravo) [-.- --- -...]
 PU1KOD = K O D (Kilo Oscar Delta) [-.- --- -..]
 PU1KOE = K O E (Kilo Oscar Echo) [-.- --- .]
 PU1KOF = K O F (Kilo Oscar Foxtrot) [-.- --- ..-.]
 PU1KOG = K O G (Kilo Oscar Golf) [-.- --- --.]
 PU1KOH = K O H (Kilo Oscar Hotel) [-.- --- ....]
 PU1KOI = K O I (Kilo Oscar India) [-.- --- ..]
 PU1KOJ = K O J (Kilo Oscar Juliett) [-.- --- .---]
 PU1KOK = K O K (Kilo Oscar Kilo) [-.- --- -.-]
 PU1KOL = K O L (Kilo Oscar Lima) [-.- --- .-..]
 PU1KOO = K O O (Kilo Oscar Oscar) [-.- --- ---]
 PU1KOP = K O P (Kilo Oscar Papa) [-.- --- .--.]
 PU1KOQ = K O Q (Kilo Oscar Quebec) [-.- --- --.-]
 PU1KOR = K O R (Kilo Oscar Romeo) [-.- --- .-.]
 PU1KOU = K O U (Kilo Oscar Uniform) [-.- --- ..-]
 PU1KOV = K O V (Kilo Oscar Victor) [-.- --- ...-]
 PU1KOW = K O W (Kilo Oscar Whiskey) [-.- --- .--]
 PU1KOX = K O X (Kilo Oscar X-ray) [-.- --- -..-]
 PU1KOY = K O Y (Kilo Oscar Yankee) [-.- --- -.--]
 PU1KPA = K P A (Kilo Papa Alfa) [-.- .--. .-]
 PU1KPB = K P B (Kilo Papa Bravo) [-.- .--. -...]
 PU1KPE = K P E (Kilo Papa Echo) [-.- .--. .]
 PU1KPJ = K P J (Kilo Papa Juliett) [-.- .--. .---]
 PU1KPL = K P L (Kilo Papa Lima) [-.- .--. .-..]
 PU1KPM = K P M (Kilo Papa Mike) [-.- .--. --]
 PU1KPN = K P N (Kilo Papa November) [-.- .--. -.]
 PU1KPO = K P O (Kilo Papa Oscar) [-.- .--. ---]
 PU1KPP = K P P (Kilo Papa Papa) [-.- .--. .--.]
 PU1KPU = K P U (Kilo Papa Uniform) [-.- .--. ..-]
 PU1KPV = K P V (Kilo Papa Victor) [-.- .--. ...-]
 PU1KPX = K P X (Kilo Papa X-ray) [-.- .--. -..-]
 PU1KPZ = K P Z (Kilo Papa Zulu) [-.- .--. --..]
 PU1KQA = K Q A (Kilo Quebec Alfa) [-.- --.- .-]
 PU1KQB = K Q B (Kilo Quebec Bravo) [-.- --.- -...]
 PU1KQC = K Q C (Kilo Quebec Charlie) [-.- --.- -.-.]
 PU1KQD = K Q D (Kilo Quebec Delta) [-.- --.- -..]
 PU1KQE = K Q E (Kilo Quebec Echo) [-.- --.- .]
 PU1KQF = K Q F (Kilo Quebec Foxtrot) [-.- --.- ..-.]
 PU1KQH = K Q H (Kilo Quebec Hotel) [-.- --.- ....]
 PU1KQI = K Q I (Kilo Quebec India) [-.- --.- ..]
 PU1KQJ = K Q J (Kilo Quebec Juliett) [-.- --.- .---]
 PU1KQK = K Q K (Kilo Quebec Kilo) [-.- --.- -.-]
 PU1KQL = K Q L (Kilo Quebec Lima) [-.- --.- .-..]
 PU1KQM = K Q M (Kilo Quebec Mike) [-.- --.- --]
 PU1KQN = K Q N (Kilo Quebec November) [-.- --.- -.]
 PU1KQO = K Q O (Kilo Quebec Oscar) [-.- --.- ---]
 PU1KQP = K Q P (Kilo Quebec Papa) [-.- --.- .--.]
 PU1KQQ = K Q Q (Kilo Quebec Quebec) [-.- --.- --.-]
 PU1KQR = K Q R (Kilo Quebec Romeo) [-.- --.- .-.]
 PU1KQS = K Q S (Kilo Quebec Sierra) [-.- --.- ...]
 PU1KQT = K Q T (Kilo Quebec Tango) [-.- --.- -]
 PU1KQU = K Q U (Kilo Quebec Uniform) [-.- --.- ..-]
 PU1KQV = K Q V (Kilo Quebec Victor) [-.- --.- ...-]
 PU1KQX = K Q X (Kilo Quebec X-ray) [-.- --.- -..-]
 PU1KQY = K Q Y (Kilo Quebec Yankee) [-.- --.- -.--]
 PU1KQZ = K Q Z (Kilo Quebec Zulu) [-.- --.- --..]
 PU1KRB = K R B (Kilo Romeo Bravo) [-.- .-. -...]
 PU1KRD = K R D (Kilo Romeo Delta) [-.- .-. -..]
 PU1KRE = K R E (Kilo Romeo Echo) [-.- .-. .]
 PU1KRG = K R G (Kilo Romeo Golf) [-.- .-. --.]
 PU1KRH = K R H (Kilo Romeo Hotel) [-.- .-. ....]
 PU1KRK = K R K (Kilo Romeo Kilo) [-.- .-. -.-]
 PU1KRL = K R L (Kilo Romeo Lima) [-.- .-. .-..]
 PU1KRN = K R N (Kilo Romeo November) [-.- .-. -.]
 PU1KRO = K R O (Kilo Romeo Oscar) [-.- .-. ---]
 PU1KRP = K R P (Kilo Romeo Papa) [-.- .-. .--.]
 PU1KRQ = K R Q (Kilo Romeo Quebec) [-.- .-. --.-]
 PU1KRR = K R R (Kilo Romeo Romeo) [-.- .-. .-.]
 PU1KRV = K R V (Kilo Romeo Victor) [-.- .-. ...-]
 PU1KRW = K R W (Kilo Romeo Whiskey) [-.- .-. .--]
 PU1KRX = K R X (Kilo Romeo X-ray) [-.- .-. -..-]
 PU1KRZ = K R Z (Kilo Romeo Zulu) [-.- .-. --..]
 PU1KSB = K S B (Kilo Sierra Bravo) [-.- ... -...]
 PU1KSC = K S C (Kilo Sierra Charlie) [-.- ... -.-.]
 PU1KSE = K S E (Kilo Sierra Echo) [-.- ... .]
 PU1KSG = K S G (Kilo Sierra Golf) [-.- ... --.]
 PU1KSI = K S I (Kilo Sierra India) [-.- ... ..]
