CONVENÇÕES GEOLÓGICAS E GEOFÍSICAS PARA REPRESENTAÇÃO EM MAPAS GEOLÓGICOS,,,,,
BYTECODE DECIMAL,UNICODE,"SYMBOL SELECTOR
  (size)","TAMANHO
  (mm)",COR,DESCRIÇÃO
42,U002A,6,"2,11",PRETO 100%,Braquiópodes
43,U002B,"14,17",5,PRETO 100%,Briozoários
44,U002C,12,"4,23",PRETO 100%,Cefalópodes
45,U002D,"11,34",4,PRETO 100%,Cnidários
46,U002E,"11,34",4,PRETO 100%,Conodontes
47,U002F,"9,92","3,5",PRETO 100%,Coníferas
48,U0030,14,"4,93",PRETO 100%,Coprólitoss
49,U0031,"11,34",4,PRETO 100%,Corais
50,U0032,"11,34",4,PRETO 100%,Crinóides
51,U0033,"11,34",4,PRETO 100%,Crustáceos
52,U0034,7,"2,46",PRETO 100%,Diatomáceas
53,U0035,"14,17",5,PRETO 100%,Dinoflagelados
54,U0036,"14,17",5,PRETO 100%,Equinodermos
55,U0037,"14,17",5,PRETO 100%,Equinoides
56,U0038,12,"4,23",PRETO 100%,Esponjas
57,U0039,"9,07","3,2",PRETO 100%,Espículas (poríferos)
58,U003A,10,"3,52",PRETO 100%,Estromatólitos
59,U003B,"14,17",5,PRETO 100%,Folhas
60,U003C,"11,34",4,PRETO 100%,Foraminíferos
61,U003D,"11,34",4,PRETO 100%,Foraminíferos Planctônicos
62,U003E,"11,34",4,PRETO 100%,Foraminíferos bentônicos
63,U003F,"14,17",5,PRETO 100%,Foraminíferos grandes ou fusulinídeos
64,U0040,"11,34",4,PRETO 100%,Fungos
65,U0041,"14,17",5,PRETO 100%,Gastrópodes
66,U0042,"4,82","1,7",PRETO 100%,Graptólitos
67,U0043,11,"3,88",PRETO 100%,Insetos
68,U0044,"9,92","3,5",PRETO 100%,Invertebrados
69,U0045,12,"4,23",PRETO 100%,Macrofósseis
70,U0046,6,"2,11",PRETO 100%,Madeira fóssil
71,U0047,"9,92","3,5",PRETO 100%,Mamíferos
72,U0048,"15,59","5,5",PRETO 100%,Microfósseis
73,U0049,10,"3,52",PRETO 100%,Moluscos
74,U004A,8,"2,82",PRETO 100%,Nanofósseis calcário
75,U004B,10,"3,52",PRETO 100%,Nautilóides
76,U004C,7,"2,46",PRETO 100%,Ostracodes
77,U004D,5,"1,76",PRETO 100%,Palinomorfos
78,U004E,"11,34",4,PRETO 100%,Pegadas
79,U004F,9,"3,17",PRETO 100%,Peixes
80,U0050,"9,92","3,5",PRETO 100%,Pelecípodes (Bivalve)
81,U0051,8,"2,82",PRETO 100%,Perfurações
82,U0052,11,"3,88",PRETO 100%,Plantas
83,U0053,"11,34",4,PRETO 100%,Pólen e/ou esporos
84,U0054,"11,34",4,PRETO 100%,Quitinozoários
85,U0055,"14,17",5,PRETO 100%,Radiolários
86,U0056,"12,76","4,5",PRETO 100%,Raízes
87,U0057,10,"3,52",PRETO 100%,Répteis
88,U0058,10,"3,52",PRETO 100%,Samambaias
89,U0059,10,"3,52",PRETO 100%,Silicoflagelados
90,U005A,9,"3,17",PRETO 100%,Stromatoporoids
91,U005B,6,"2,11",PRETO 100%,Traços fósseis
92,U005C,9,"3,17",PRETO 100%,Trilobitas
93,U005D,"9,07","3,2",PRETO 100%,Vertebrados
,,,,,
SIMBOLOGIA DE ESTRUTURAS SEDIMENTARES,,,,,
BYTECODE DECIMAL,UNICODE,"SYMBOL SELECTOR
  (size)","TAMANHO
  (mm)",COR,DESCRIÇÃO
162,U00A2,"8,53",3,PRETO 100%,Bimodalidade
218,U00DA,"5,67",2,PRETO 100%,Birdseye
163,U00A3,12,"4,23",PRETO 100%,Brecha de colapso
164,U00A4,7,"2,46",PRETO 100%,Caliche
165,U00A5,12,"4,23",PRETO 100%,Concreção calcítica
166,U00A6,12,"4,23",PRETO 100%,Concreção dolomítica
167,U00A7,12,"4,23",PRETO 100%,Concreção ferro-magnesífera
168,U00A8,12,"4,23",PRETO 100%,Concreção fosfática
169,U00A9,12,"4,23",PRETO 100%,Concreção piritosa
170,U00AA,12,"4,23",PRETO 100%,Concreção silicosa
171,U00AB,"11,34",4,PRETO 100%,Cone-in-cone
172,U00AC,"5,67",2,PRETO 100%,Crosta (hardground)
161,U00A1,14,"4,94",PRETO 100%,Direção de paleocorrente
223,U00DF,"7,09","2,5",PRETO 100%,Dique clástico
174,U00AE,"9,92","3,5",PRETO 100%,Estilólitos
175,U00AF,"5,67",2,PRETO 100%,Estratificação cruzada acanalada
