CONVENÇÕES GEOLÓGICAS E GEOFÍSICAS PARA REPRESENTAÇÃO EM MAPAS GEOLÓGICOS,,,,,,,,
BYTECODE DECIMAL,UNICODE,"TAMANHO
  (points/mm)",,COR,NOMENCLATURA,CÓDIGO UTF-8,OBSERVAÇÕES/DESCRIÇÃO,NOME ARQUIVO OTF
196,U00C4,"14,17",5,PRETO 100%,Seta 1,,,CPRM_Geology.otf
194,U00C2,"14,17",5,PRETO 100%,Seta 2,,,CPRM_Geology.otf
197,U00C5,"14,17",5,PRETO 100%,Seta 3,,,CPRM_Geology.otf
199,U00C7,"14,17",5,PRETO 100%,Seta 4,,,CPRM_Geology.otf
195,U00C3,"14,17",5,PRETO 100%,Seta 5,,,CPRM_Geology.otf
203,U00CB,"17,01",6,PRETO 100%,Seta 6,,,CPRM_Geology.otf
202,U00CA,"17,01",6,PRETO 100%,Seta 7,,,CPRM_Geology.otf
198,U00C6,"14,17",5,PRETO 100%,Seta 8,,,CPRM_Geology.otf
192,U00C0,13,"4,59",PRETO 100%,Simbol Anticlinal,,,CPRM_Geology.otf
201,U00C9,13,"4,59",PRETO 100%,Simbol Sinclinal,,,CPRM_Geology.otf
83,U0053,"14,17",5,PRETO 100%,Storckwork,,,CPRM_Geology.otf
68,U0044,"17,01",6,PRETO 100%,Superfície de fluxo magmático,,,CPRM_Geology.otf
163,U00A3,"17,01",6,PRETO 100%,Superfície de fluxo magmático horizontal,,,CPRM_Geology.otf
74,U004A,"17,01",6,PRETO 100%,Superfície de fluxo magmático vertical,,,CPRM_Geology.otf
99,U0063,"17,01",6,PRETO 100%,Tectonito L,,,CPRM_Geology.otf
60,U003C,"17,01",6,PRETO 100%,Tectonito LS,,,CPRM_Geology.otf
60,U003C,"17,01",6,PRETO 100%,Tectonito S,,,CPRM_Geology.otf
121,U0079,"17,01",6,PRETO 100%,Veio,,,CPRM_Geology.otf
121,U0079,"17,01",6,PRETO 100%,Veio de cisalhamento,,,CPRM_Geology.otf
188,U00BC,"17,01",6,PRETO 100%,Veio extensional,,,CPRM_Geology.otf
120,U0078,"17,01",6,PRETO 100%,Veio híbrido dextral,,,CPRM_Geology.otf
255,U00FF,"17,01",6,PRETO 100%,Veio híbrido sinistral,,,CPRM_Geology.otf
186,U00BA,"17,01",6,PRETO 100%,Veio irregular,,,CPRM_Geology.otf
187,U00BB,"17,01",6,PRETO 100%,Veio laminado,,,CPRM_Geology.otf
65,U0041,17,"5,99",PRETO 100%,Xistosidade,,,CPRM_Geology.otf
245,U00F5,"14,17",5,PRETO 100%,Xistosidade horizontal,,,CPRM_Geology.otf
244,U00F4,"17,01",6,PRETO 100%,Xistosidade vertical,,,CPRM_Geology.otf
124,U007C,"19,84",7,PRETO 100%,Zona de veios escalonados (tension gashes),,,CPRM_Geology.otf
124,U007C,"11,34",4,PRETO 100%,Zona de veios multidirecionais,,,CPRM_Geology.otf
183,U00B7,18,"6,35",PRETO 100%,Zona extensional tipo pull apart,,,CPRM_Geology.otf
,,,,,,,,

,,,,,,,,
SIMBOLOGIA DE FÓSSEIS,,,,,,,,
BYTECODE DECIMAL,UNICODE,"SYMBOL SELECTOR
  (size)","TAMANHO
  (mm)",COR,DESCRIÇÃO,,OBSERVAÇÕES/DESCRIÇÃO,NOME ARQUIVO OTF
33,U0021,"14,17",5,PRETO 100%,Acritarcos,,,CPRM_Paleontology.otf
34,U0022,"11,34",4,PRETO 100%,Algas,,,CPRM_Paleontology.otf
35,U0023,12,"4,23",PRETO 100%,Amonoides,,,CPRM_Paleontology.otf
36,U0024,"15,59","5,5",PRETO 100%,Anelídeos,,,CPRM_Paleontology.otf
37,U0025,12,"4,23",PRETO 100%,Anfíbios,,,CPRM_Paleontology.otf
38,U0026,"11,34",4,PRETO 100%,Angiospermas,,,CPRM_Paleontology.otf
39,U0027,12,"4,23",PRETO 100%,Aracnídeo,,,CPRM_Paleontology.otf
40,U0028,"11,5","4,05",PRETO 100%,Artropoda,,,CPRM_Paleontology.otf
41,U0029,5,"1,76",PRETO 100%,Belemnoids,,,CPRM_Paleontology.otf
42,U002A,6,"2,11",PRETO 100%,Braquiópodes,,,CPRM_Paleontology.otf
43,U002B,"14,17",5,PRETO 100%,Briozoários,,,CPRM_Paleontology.otf
44,U002C,12,"4,23",PRETO 100%,Cefalópodes,,,CPRM_Paleontology.otf
45,U002D,"11,34",4,PRETO 100%,Cnidários,,,CPRM_Paleontology.otf
46,U002E,"11,34",4,PRETO 100%,Conodontes,,,CPRM_Paleontology.otf
47,U002F,"9,92","3,5",PRETO 100%,Coníferas,,,CPRM_Paleontology.otf
48,U0030,14,"4,93",PRETO 100%,Coprólitoss,,,CPRM_Paleontology.otf
49,U0031,"11,34",4,PRETO 100%,Corais,,,CPRM_Paleontology.otf
50,U0032,"11,34",4,PRETO 100%,Crinóides,,,CPRM_Paleontology.otf
51,U0033,"11,34",4,PRETO 100%,Crustáceos,,,CPRM_Paleontology.otf
52,U0034,7,"2,46",PRETO 100%,Diatomáceas,,,CPRM_Paleontology.otf
53,U0035,"14,17",5,PRETO 100%,Dinoflagelados,,,CPRM_Paleontology.otf
54,U0036,"14,17",5,PRETO 100%,Equinodermos,,,CPRM_Paleontology.otf
55,U0037,"14,17",5,PRETO 100%,Equinoides,,,CPRM_Paleontology.otf
56,U0038,12,"4,23",PRETO 100%,Esponjas,,,CPRM_Paleontology.otf
57,U0039,"9,07","3,2",PRETO 100%,Espículas (poríferos),,,CPRM_Paleontology.otf
58,U003A,10,"3,52",PRETO 100%,Estromatólitos,,,CPRM_Paleontology.otf
59,U003B,"14,17",5,PRETO 100%,Folhas,,,CPRM_Paleontology.otf
60,U003C,"11,34",4,PRETO 100%,Foraminíferos,,,CPRM_Paleontology.otf
61,U003D,"11,34",4,PRETO 100%,Foraminíferos Planctônicos,,,CPRM_Paleontology.otf
62,U003E,"11,34",4,PRETO 100%,Foraminíferos bentônicos,,,CPRM_Paleontology.otf
63,U003F,"14,17",5,PRETO 100%,Foraminíferos grandes ou fusulinídeos,,,CPRM_Paleontology.otf
64,U0040,"11,34",4,PRETO 100%,Fungos,,,CPRM_Paleontology.otf
65,U0041,"14,17",5,PRETO 100%,Gastrópodes,,,CPRM_Paleontology.otf
66,U0042,"4,82","1,7",PRETO 100%,Graptólitos,,,CPRM_Paleontology.otf
67,U0043,11,"3,88",PRETO 100%,Insetos,,,CPRM_Paleontology.otf
68,U0044,"9,92","3,5",PRETO 100%,Invertebrados,,,CPRM_Paleontology.otf
69,U0045,12,"4,23",PRETO 100%,Macrofósseis,,,CPRM_Paleontology.otf
